task_id,family,ctx,method,keep_frac,mode,correct,n_steps,text,prompt_tokens,flip_frac,mean_kl,mean_est_dropped,mean_oracle_dropped
multi_entity-1024-0,multi_entity,1024,dense,1.0,free,True,2,quill,,,,,
multi_entity-1024-0,multi_entity,1024,quest_topk,0.5,free,True,2,quill,1068.0,0.0,0.0005272474663797766,0.015327194602681022,0.0653417762174892
multi_entity-1024-0,multi_entity,1024,quest_topk,0.25,free,True,2,quill,1068.0,0.0,0.0011482569389045238,0.05570049301301576,0.13431115537726632
multi_entity-1024-0,multi_entity,1024,quest_topk,0.125,free,True,2,quill,1068.0,0.0,0.004236950539052486,0.12649556845038507,0.2265078299678862
multi_entity-1024-0,multi_entity,1024,quest_topk,0.0625,free,False,2,quotation,1068.0,0.5,6.140270113945007,0.3406739691078352,0.34226630069315434
multi_entity-1024-0,multi_entity,1024,quest_topk,0.03125,free,False,2,quotation,1068.0,0.5,6.140270113945007,0.3406739691078352,0.34226630069315434
multi_entity-1024-0,multi_entity,1024,mean_topk,0.5,free,True,2,quill,1068.0,0.0,1.593098251362335e-05,0.050908812515748046,0.034930929861729965
multi_entity-1024-0,multi_entity,1024,mean_topk,0.25,free,True,2,quill,1068.0,0.0,0.00016365582632715814,0.14802818384487182,0.1137392915940533
multi_entity-1024-0,multi_entity,1024,mean_topk,0.125,free,False,2,quilt,1068.0,0.5,0.5937621763441712,0.2884415796337028,0.2038412463540832
multi_entity-1024-0,multi_entity,1024,mean_topk,0.0625,free,False,2,quotation,1068.0,0.5,6.140270113945007,0.4361792171063522,0.34226630069315434
multi_entity-1024-0,multi_entity,1024,mean_topk,0.03125,free,False,2,quotation,1068.0,0.5,6.140270113945007,0.4361792171063522,0.34226630069315434
multi_entity-1024-0,multi_entity,1024,local_sink,0.5,free,False,2,quarry,1068.0,0.5,1.2797130271792412,,0.14242326805833727
multi_entity-1024-0,multi_entity,1024,local_sink,0.25,free,False,2,quarry,1068.0,0.5,1.5634315870702267,,0.1841328963637352
multi_entity-1024-0,multi_entity,1024,local_sink,0.125,free,False,2,quarry,1068.0,0.5,1.790448896586895,,0.23179486424972615
multi_entity-1024-0,multi_entity,1024,local_sink,0.0625,free,False,2,quotation,1068.0,0.5,6.140270113945007,,0.34226630069315434
multi_entity-1024-0,multi_entity,1024,local_sink,0.03125,free,False,2,quotation,1068.0,0.5,6.140270113945007,,0.34226630069315434
multi_entity-1024-1,multi_entity,1024,dense,1.0,free,True,2,Ribbon,,,,,
multi_entity-1024-1,multi_entity,1024,quest_topk,0.5,free,True,2,Ribbon,1071.0,0.0,0.000802479888079688,0.010640559180236172,0.03112680532891924
multi_entity-1024-1,multi_entity,1024,quest_topk,0.25,free,True,2,Ribbon,1071.0,0.0,0.004876995306403842,0.03451157553680181,0.07051517009191836
multi_entity-1024-1,multi_entity,1024,quest_topk,0.125,free,True,2,Ribbon,1071.0,0.0,0.05189568133209832,0.09668041745256536,0.14628815251247335
