task_id,family,ctx,method,keep_frac,mode,correct,n_steps,text,prompt_tokens,dense_correct,flip_frac,mean_kl,mean_est_dropped,mean_oracle_dropped
multi_entity-1024-0,multi_entity,1024,dense,1.0,free,True,3,The ribbon.,,,,,,
multi_entity-1024-0,multi_entity,1024,quest_topk,0.5,free,True,3,The ribbon.,1090.0,True,0.0,0.002242851690416122,0.010298883162451804,0.04188163205334503
multi_entity-1024-0,multi_entity,1024,quest_topk,0.25,free,True,3,The ribbon.,1090.0,True,0.0,0.2242031697052577,0.03432599797290297,0.10117851724175529
multi_entity-1024-0,multi_entity,1024,quest_topk,0.125,free,True,3,The ribbon.,1090.0,True,0.0,1.5186005128919835,0.08988422251746266,0.19121657164456943
multi_entity-1024-0,multi_entity,1024,quest_topk,0.0625,free,False,3,The northern road,1090.0,True,0.3333333333333333,4.408327943334977,0.4529985135628118,0.5305274257229434
multi_entity-1024-0,multi_entity,1024,quest_topk,0.03125,free,False,3,The northern road,1090.0,True,0.3333333333333333,4.408327943334977,0.4529985135628118,0.5305274257229434
multi_entity-1024-0,multi_entity,1024,mean_topk,0.5,free,True,3,The ribbon.,1090.0,True,0.0,0.0010857458482481281,0.04406663650620935,0.03627719338853947
multi_entity-1024-0,multi_entity,1024,mean_topk,0.25,free,False,3,The apple.,1090.0,True,0.6666666666666666,0.5282721641815442,0.12753574510053214,0.11306402789584051
multi_entity-1024-0,multi_entity,1024,mean_topk,0.125,free,True,2,The ribbon,1090.0,True,0.5,0.4794883131980896,0.27703682271142804,0.2367280749992157
multi_entity-1024-0,multi_entity,1024,mean_topk,0.0625,free,False,3,The northern road,1090.0,True,0.3333333333333333,4.408327943334977,0.5493265843639771,0.5305274257229434
multi_entity-1024-0,multi_entity,1024,mean_topk,0.03125,free,False,3,The northern road,1090.0,True,0.3333333333333333,4.408327943334977,0.5493265843639771,0.5305274257229434
multi_entity-1024-0,multi_entity,1024,local_sink,0.5,free,False,2,The coin,1090.0,True,1.0,3.8028404489159584,,0.10839030717033893
multi_entity-1024-0,multi_entity,1024,local_sink,0.25,free,False,9,The item Alice keeps is the quill.,1090.0,True,0.2222222222222222,2.4505139353107857,,0.16471500287729282
multi_entity-1024-0,multi_entity,1024,local_sink,0.125,free,False,8,The item Alice keeps is a book.,1090.0,True,0.375,3.136347099465411,,0.22240986149214828
multi_entity-1024-0,multi_entity,1024,local_sink,0.0625,free,False,3,The northern road,1090.0,True,0.3333333333333333,4.408327943334977,,0.5305274257229434
multi_entity-1024-0,multi_entity,1024,local_sink,0.03125,free,False,3,The northern road,1090.0,True,0.3333333333333333,4.408327943334977,,0.5305274257229434
multi_entity-1024-1,multi_entity,1024,dense,1.0,free,True,2,Whistle,,,,,,
multi_entity-1024-1,multi_entity,1024,quest_topk,0.5,free,True,2,Whistle,1081.0,True,0.0,0.044237830210477114,0.013973250803398212,0.05287490498934251
multi_entity-1024-1,multi_entity,1024,quest_topk,0.25,free,True,2,Whistle,1081.0,True,0.0,0.04356072927475907,0.04731667065728591,0.12289585149846971
multi_entity-1024-1,multi_entity,1024,quest_topk,0.125,free,True,2,Whistle,1081.0,True,0.0,0.1154183124890551,0.09680223539423119,0.18726158041196567
multi_entity-1024-1,multi_entity,1024,quest_topk,0.0625,free,False,2,Whiskey,1081.0,True,0.5,0.5031089093536139,0.1665397853575996,0.22812053165398538
multi_entity-1024-1,multi_entity,1024,quest_topk,0.03125,free,False,2,Whiskey,1081.0,True,0.5,0.5031089093536139,0.1665397853575996,0.22812053165398538
multi_entity-1024-1,multi_entity,1024,mean_topk,0.5,free,True,2,Whistle,1081.0,True,0.0,0.04721390892518684,0.05475690286645356,0.036931201602177076
multi_entity-1024-1,multi_entity,1024,mean_topk,0.25,free,True,2,Whistle,1081.0,True,0.0,0.03824958112090826,0.1597548502807816,0.10455765055182079
multi_entity-1024-1,multi_entity,1024,mean_topk,0.125,free,True,2,Whistle,1081.0,True,0.0,0.24825709871947765,0.29187263548374176,0.1804926712065935
multi_entity-1024-1,multi_entity,1024,mean_topk,0.0625,free,False,2,Whiskey,1081.0,True,0.5,0.5031089093536139,0.4293055247204999,0.22812053165398538
multi_entity-1024-1,multi_entity,1024,mean_topk,0.03125,free,False,2,Whiskey,1081.0,True,0.5,0.5031089093536139,0.4293055247204999,0.22812053165398538
multi_entity-1024-1,multi_entity,1024,local_sink,0.5,free,False,2,Whiskey,1081.0,True,0.5,0.44280104991048574,,0.10522384871728718
